시군구별,행정동,비율,기울기,2023_출생아수,2023_동별_추정출생아수,연간_인구감소폭,2024_출생아수,2025_출생아수,2026_출생아수,2027_출생아수,2028_출생아수,2029_출생아수
강남구,개포1동,0.04376953997320232,-211.17857142857136,2296.0,100,-9.243188923626615,91,82,73,64,54,45
강남구,개포2동,0.1397945511389013,-211.17857142857136,2296.0,321,-29.521613603011538,291,262,232,203,173,144
강남구,개포3동,0.04242965609647164,-211.17857142857136,2296.0,97,-8.960234160658453,88,79,71,62,53,44
강남구,개포4동,0.054041983028137563,-211.17857142857136,2296.0,124,-11.41250877304919,113,101,90,78,67,56
강남구,논현1동,0.026797677534613668,-211.17857142857136,2296.0,62,-5.659095259363235,56,50,45,39,33,28
강남구,논현2동,0.03930326038410004,-211.17857142857136,2296.0,90,-8.30000638039941,82,74,65,57,49,40
강남구,대치1동,0.010719071013845467,-211.17857142857136,2296.0,25,-2.2636381037452935,22,20,18,16,13,11
강남구,대치2동,0.037516748548459135,-211.17857142857136,2296.0,86,-7.922733363108528,78,70,62,54,47,39
강남구,대치4동,0.02188476998660116,-211.17857142857136,2296.0,50,-4.621594461813308,46,41,36,32,27,23
강남구,도곡1동,0.027690933452434122,-211.17857142857136,2296.0,64,-5.847731768008676,58,52,46,40,34,28
강남구,도곡2동,0.0482358195623046,-211.17857142857136,2296.0,111,-10.18637146685382,101,90,80,70,60,50
강남구,삼성1동,0.021438142027690933,-211.17857142857136,2296.0,49,-4.527276207490587,45,40,36,31,27,22
강남구,삼성2동,0.051362215274676194,-211.17857142857136,2296.0,118,-10.846599247112866,107,96,85,75,64,53
강남구,세곡동,0.10317105850826262,-211.17857142857136,2296.0,237,-21.78751674854845,215,193,172,150,128,106
강남구,수서동,0.03528360875390799,-211.17857142857136,2296.0,81,-7.4511420914949245,74,66,59,51,44,36
강남구,신사동,0.028584189370254576,-211.17857142857136,2296.0,66,-6.036368276654116,60,54,48,41,35,29
강남구,압구정동,0.048682447521214825,-211.17857142857136,2296.0,112,-10.280689721176541,101,91,81,71,60,50
강남구,역삼1동,0.055381866904868245,-211.17857142857136,2296.0,127,-11.695463536017352,115,104,92,80,69,57
강남구,역삼2동,0.04600267976775346,-211.17857142857136,2296.0,106,-9.71478019524022,96,86,76,67,57,47
강남구,일원1동,0.025457793657882984,-211.17857142857136,2296.0,58,-5.376140496395073,53,48,42,37,32,26
강남구,일원본동,0.041536400178651185,-211.17857142857136,2296.0,95,-8.771597652013014,87,78,69,60,52,43
강남구,청담동,0.05091558731576597,-211.17857142857136,2296.0,117,-10.752280992790146,106,95,85,74,63,52
강동구,강일동,0.07866273352999016,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,고덕제1동,0.030973451327433628,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,고덕제2동,0.06833824975417896,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,길동,0.08898721730580138,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,둔촌제1동,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,둔촌제2동,0.05703048180924287,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,명일제1동,0.07177974434611603,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,명일제2동,0.021140609636184856,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,상일제1동,0.09882005899705015,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,상일제2동,0.028515240904621434,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,성내제1동,0.046214355948869225,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,성내제2동,0.046214355948869225,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,성내제3동,0.03982300884955752,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,암사제1동,0.06440511307767945,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,암사제2동,0.05801376597836775,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,암사제3동,0.03146509341199607,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,천호제1동,0.03982300884955752,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,천호제2동,0.06981317600786627,0.0,0.0,0,0.0,0,0,0,0,0,0
강동구,천호제3동,0.0599803343166175,0.0,0.0,0,0.0,0,0,0,0,0,0
강북구,미아동,0.05443234836702955,-144.60714285714283,826.0,45,-7.871306376360808,37,29,21,13,6,-2
강북구,번1동,0.038880248833592534,-144.60714285714283,826.0,32,-5.622361697400577,26,21,15,10,4,-2
강북구,번2동,0.038880248833592534,-144.60714285714283,826.0,32,-5.622361697400577,26,21,15,10,4,-2
강북구,번3동,0.06842923794712286,-144.60714285714283,826.0,57,-9.895356587425015,47,37,27,17,7,-3
강북구,삼각산동,0.14463452566096424,-144.60714285714283,826.0,119,-20.915185514330147,99,78,57,36,15,-6
강북구,삼양동,0.09642301710730948,-144.60714285714283,826.0,80,-13.943457009553429,66,52,38,24,10,-4
강북구,송중동,0.13841368584758942,-144.60714285714283,826.0,114,-20.01560764274605,94,74,54,34,14,-6
강북구,송천동,0.06220839813374806,-144.60714285714283,826.0,51,-8.995778715840924,42,33,24,15,6,-3
강북구,수유1동,0.06531881804043546,-144.60714285714283,826.0,54,-9.445567651632969,45,35,26,16,7,-3
강북구,수유2동,0.07309486780715396,-144.60714285714283,826.0,60,-10.570039991113084,50,39,29,18,8,-3
강북구,수유3동,0.05132192846034215,-144.60714285714283,826.0,42,-7.421517440568762,35,28,20,13,5,-2
강북구,우이동,0.07465007776049767,-144.60714285714283,826.0,62,-10.794934459009108,51,40,29,18,8,-3
강북구,인수동,0.09331259720062209,-144.60714285714283,826.0,77,-13.493668073761384,64,50,37,23,10,-4
강서구,가양제1동,0.06337135614702155,-361.4285714285713,2635.0,167,-22.904218721709206,144,121,98,75,52,30
강서구,가양제2동,0.019433882551753275,-361.4285714285713,2635.0,51,-7.023960407990823,44,37,30,23,16,9
강서구,가양제3동,0.0452049007182087,-361.4285714285713,2635.0,119,-16.338342688152565,103,86,70,54,37,21
강서구,공항동,0.05787917194761301,-361.4285714285713,2635.0,153,-20.919186432494406,132,111,90,69,48,27
강서구,등촌제1동,0.06337135614702155,-361.4285714285713,2635.0,167,-22.904218721709206,144,121,98,75,52,30
강서구,등촌제2동,0.03633291085762569,-361.4285714285713,2635.0,96,-13.131752067113279,83,69,56,43,30,17
강서구,등촌제3동,0.053231939163498096,-361.4285714285713,2635.0,140,-19.23954372623573,121,102,83,63,44,25
강서구,발산제1동,0.053231939163498096,-361.4285714285713,2635.0,140,-19.23954372623573,121,102,83,63,44,25
강서구,방화제1동,0.059146599070553446,-361.4285714285713,2635.0,156,-21.377270806928593,134,113,92,70,49,28
강서구,방화제2동,0.04267004647232784,-361.4285714285713,2635.0,112,-15.422173939284198,97,82,66,51,35,20
강서구,방화제3동,0.05238698774820448,-361.4285714285713,2635.0,138,-18.93415414327961,119,100,81,62,43,24
강서구,염창동,0.11702577101816646,-361.4285714285713,2635.0,308,-42.296457239423,266,224,181,139,97,55
강서구,우장산동,0.05576679340937896,-361.4285714285713,2635.0,147,-20.155712475104103,127,107,86,66,46,26
강서구,화곡본동,0.044359949302915085,-361.4285714285713,2635.0,117,-16.032953105196444,101,85,69,53,37,21
강서구,화곡제1동,0.08871989860583017,-361.4285714285713,2635.0,234,-32.06590621039289,202,170,138,106,73,41
강서구,화곡제2동,0.018166455428812844,-361.4285714285713,2635.0,48,-6.5658760335566395,41,35,28,22,15,8
강서구,화곡제3동,0.030840726658217153,-361.4285714285713,2635.0,81,-11.14671977789848,70,59,48,37,26,14
강서구,화곡제4동,0.024926066751161807,-361.4285714285713,2635.0,66,-9.00899269720562,57,48,39,30,21,12
강서구,화곡제6동,0.04731727925644275,-361.4285714285713,2635.0,125,-17.101816645542872,108,90,73,56,39,22
강서구,화곡제8동,0.026615969581749048,-361.4285714285713,2635.0,70,-9.619771863117865,61,51,41,32,22,12
관악구,낙성대동,0.04795050270688322,-242.78571428571422,1489.0,71,-11.641697050049716,60,48,36,25,13,2
관악구,난곡동,0.042536736272235115,-242.78571428571422,1489.0,63,-10.327311899237651,53,43,32,22,12,1
관악구,난향동,0.03634957463263728,-242.78571428571422,1489.0,54,-8.82515744116672,45,36,28,19,10,1
관악구,남현동,0.038669760247486466,-242.78571428571422,1489.0,58,-9.388465362943318,48,39,29,20,11,1
관악구,대학동,0.03557617942768755,-242.78571428571422,1489.0,53,-8.637388133907853,44,36,27,18,10,1
관악구,미성동,0.04949729311678268,-242.78571428571422,1489.0,74,-12.01723566456745,62,50,38,26,14,2
관악구,보라매동,0.04949729311678268,-242.78571428571422,1489.0,74,-12.01723566456745,62,50,38,26,14,2
관악구,삼성동,0.02242846094354215,-242.78571428571422,1489.0,33,-5.445309910507125,28,23,17,12,6,1
관악구,서림동,0.03944315545243619,-242.78571428571422,1489.0,59,-9.576234670202185,49,40,30,20,11,1
관악구,서원동,0.037122969837587005,-242.78571428571422,1489.0,55,-9.012926748425585,46,37,28,19,10,1
관악구,성현동,0.07965970610982212,-242.78571428571422,1489.0,119,-19.340238647663238,99,80,61,41,22,3
관악구,신림동,0.027068832173240527,-242.78571428571422,1489.0,40,-6.571925754060324,34,27,21,14,7,1
관악구,신사동,0.029389017788089715,-242.78571428571422,1489.0,44,-7.135233675836923,37,29,22,15,8,1
관악구,신원동,0.02165506573859242,-242.78571428571422,1489.0,32,-5.257540603248258,27,22,16,11,6,1
관악구,은천동,0.07733952049497293,-242.78571428571422,1489.0,115,-18.776930725886636,96,78,59,40,21,2
관악구,인헌동,0.05336426914153132,-242.78571428571422,1489.0,79,-12.956082200861779,67,54,41,28,15,2
관악구,조원동,0.08197989172467131,-242.78571428571422,1489.0,122,-19.903546569439836,102,82,62,42,23,3
관악구,중앙동,0.025522041763341066,-242.78571428571422,1489.0,38,-6.1963871395425905,32,26,19,13,7,1
관악구,청룡동,0.07037896365042537,-242.78571428571422,1489.0,105,-17.08700696055684,88,71,54,36,19,2
관악구,청림동,0.0765661252900232,-242.78571428571422,1489.0,114,-18.58916141862777,95,77,58,40,21,2
관악구,행운동,0.058004640371229696,-242.78571428571422,1489.0,86,-14.082698044414977,72,58,44,30,16,2
광진구,광장동,0.08789237668161436,-202.10714285714286,1231.0,108,-17.763677130044844,90,73,55,37,19,2
광진구,구의제1동,0.06816143497757847,-202.10714285714286,1231.0,84,-13.775912876361305,70,56,43,29,15,1
광진구,구의제2동,0.08340807174887892,-202.10714285714286,1231.0,103,-16.857367072389494,86,69,52,35,18,2
광진구,구의제3동,0.10582959641255606,-202.10714285714286,1231.0,130,-21.38891736066624,109,87,66,45,23,2
광진구,군자동,0.04663677130044843,-202.10714285714286,1231.0,57,-9.425624599615631,48,39,29,20,10,1
광진구,능동,0.03856502242152467,-202.10714285714286,1231.0,47,-7.794266495836004,40,32,24,16,9,1
광진구,자양제1동,0.06547085201793722,-202.10714285714286,1231.0,81,-13.232126841768098,67,54,41,28,14,1
광진구,자양제2동,0.08878923766816144,-202.10714285714286,1231.0,109,-17.944939141575915,91,73,55,38,20,2
광진구,자양제3동,0.10941704035874439,-202.10714285714286,1231.0,135,-22.11396540679052,113,90,68,46,24,2
광진구,자양제4동,0.06367713004484304,-202.10714285714286,1231.0,78,-12.869602818705957,66,53,40,27,14,1
광진구,중곡제1동,0.04035874439461883,-202.10714285714286,1231.0,50,-8.156790518898141,42,33,25,17,9,1
광진구,중곡제2동,0.05829596412556054,-202.10714285714286,1231.0,72,-11.782030749519539,60,48,36,25,13,1
광진구,중곡제3동,0.04394618834080718,-202.10714285714286,1231.0,54,-8.881838565022422,45,36,27,19,10,1
광진구,중곡제4동,0.06636771300448431,-202.10714285714286,1231.0,82,-13.41338885329917,68,55,41,28,15,1
광진구,화양동,0.033183856502242155,-202.10714285714286,1231.0,41,-6.706694426649585,34,27,21,14,7,1
구로구,가리봉동,0.00717835450027609,-179.96428571428567,1937.0,14,-1.2918474402461146,13,11,10,9,7,6
구로구,개봉제1동,0.09442297073440088,-179.96428571428567,1937.0,183,-16.992762483237353,166,149,132,115,98,81
구로구,개봉제2동,0.06626173384870238,-179.96428571428567,1937.0,128,-11.924745602271829,116,104,93,81,69,57
구로구,개봉제3동,0.03589177250138045,-179.96428571428567,1937.0,70,-6.459237201230573,63,57,50,44,37,31
구로구,고척제1동,0.10657095527332965,-179.96428571428567,1937.0,206,-19.178965843653856,187,168,149,130,111,91
구로구,고척제2동,0.03589177250138045,-179.96428571428567,1937.0,70,-6.459237201230573,63,57,50,44,37,31
구로구,구로제1동,0.078961899503037,-179.96428571428567,1937.0,153,-14.210321842707263,139,125,110,96,82,68
구로구,구로제2동,0.02816123688569851,-179.96428571428567,1937.0,55,-5.068016880965527,49,44,39,34,29,24
구로구,구로제3동,0.04417448923246825,-179.96428571428567,1937.0,86,-7.949830401514552,78,70,62,54,46,38
구로구,구로제4동,0.03368304803975704,-179.96428571428567,1937.0,65,-6.061745681154846,59,53,47,41,35,29
구로구,구로제5동,0.09497515184980673,-179.96428571428567,1937.0,184,-17.092135363256286,167,150,133,116,99,81
구로구,수궁동,0.060739922694643844,-179.96428571428567,1937.0,118,-10.931016802082508,107,96,85,74,63,52
구로구,신도림동,0.12203202650469354,-179.96428571428567,1937.0,236,-21.96140648418395,214,192,170,149,127,105
구로구,오류제1동,0.06294864715626726,-179.96428571428567,1937.0,122,-11.328508322158237,111,99,88,77,65,54
구로구,오류제2동,0.07564881281060187,-179.96428571428567,1937.0,147,-13.61408456259367,133,119,106,92,78,65
구로구,항동,0.05245720596355605,-179.96428571428567,1937.0,102,-9.44042360179853,92,83,73,64,54,45
